Label,OuterWidth,OuterHeight,InnerWidth,InnerHeight,WidthRatio,HeightRatio
A+,0.37386121,0.350800712,0.233558719,0.247313167,1.600716136,1.41844737
O+,0.289181495,0.251868327,0.190017794,0.174537367,1.521865343,1.443062494
O+,0.270782918,0.274928826,0.17202847,0.179911032,1.574058751,1.528137672
A+,0.31202847,0.280960854,0.191743772,0.180480427,1.62731997,1.556738637
AB+,0.346725979,0.267170819,0.211992883,0.179928826,1.635554809,1.484869462
O+,0.333131673,0.287064057,0.222419929,0.207206406,1.49776,1.38540146
O+,0.378327402,0.299181495,0.252651246,0.213950178,1.497429396,1.398369927
O+,0.373807829,0.310124555,0.249928826,0.215053381,1.495657127,1.442081747
B+,0.3063879,0.272348754,0.193274021,0.180124555,1.585251335,1.512002371
A+,0.304911032,0.253362989,0.189466192,0.161868327,1.609316304,1.565241288
O+,0.27797153,0.259074733,0.17519573,0.173220641,1.586634166,1.495634309
B+,0.321370107,0.296975089,0.203256228,0.183238434,1.58110829,1.620703049
O+,0.294483986,0.271245552,0.192811388,0.181156584,1.527316353,1.49729889
A+,0.252704626,0.263701068,0.152188612,0.162651246,1.660470011,1.62126682
A-,0.331601423,0.273380783,0.193113879,0.186263345,1.717128904,1.46771112
AB+,0.284448399,0.27341637,0.172793594,0.172295374,1.646174441,1.586904885
O+,0.274074733,0.258220641,0.175088968,0.170035587,1.565345528,1.518627041
A+,0.280533808,0.246619217,0.168398577,0.141690391,1.665891801,1.740550044
A+,0.289786477,0.279608541,0.173238434,0.194430605,1.672760887,1.438089137
B+,0.304822064,0.266992883,0.190622776,0.182740214,1.599085224,1.461051607
A+,0.270035587,0.252313167,0.161120996,0.158683274,1.675980121,1.59004261
B+,0.422330961,0.298736655,0.255373665,0.210088968,1.653776477,1.421953079
A+,0.387206406,0.314786477,0.241779359,0.206975089,1.601486606,1.520890646
O+,0.283932384,0.277989324,0.164911032,0.178434164,1.721730686,1.557937774
B+,0.253754448,0.263149466,0.156120996,0.168718861,1.625370413,1.559692048
O+,0.321512456,0.267437722,0.201352313,0.179341637,1.596765642,1.491219367
A+,0.315142349,0.318345196,0.195676157,0.208096085,1.610530145,1.529799059
O+,0.237402135,0.256939502,0.14797153,0.164270463,1.604377104,1.564124783
A+,0.324483986,0.270729537,0.200782918,0.172046263,1.616093584,1.573585686
O+,0.37430605,0.257366548,0.265160142,0.15683274,1.411622601,1.641025641
O+,0.252508897,0.230907473,0.154270463,0.144074733,1.636793541,1.602692355
O+,0.331957295,0.293718861,0.216708185,0.193505338,1.531817062,1.517885057
O+,0.413540925,0.301209964,0.258398577,0.200355872,1.600399394,1.503374778
A+,0.274395018,0.239893238,0.174021352,0.15386121,1.576789366,1.559153464
